ID,title,location,price,details,specifications
5U74LKE,VENTA DE CASA EN LOMAS DEL MAYAB, Colonia Lomas del Mayab,"
                                       $ 351,793                                                                              ","['   Habitaciones3  ', '   Baños2.5  ', '  Área188 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Balcón 1  ', '  Tipo de calle Avenida  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento 4  ']"
9JQ3MSQ,CASA EN VENTA EN COLONIA TEPEYAC, Colonia Tepeyac,"
                                       $ 812,000                                                                              ","['   Habitaciones4  ', '   Baños4.5  ', '  Área600 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Balcón 3  ', '  Tipo de calle Avenida  ', '  Orientación Amanecer  ', '  Estacionamiento 4  ', '  Servicio mensual 0  ']"
E52XERX,CASA EN VENTA EN SAN CARLOS, Colonia San Carlos,"
                                       $ 499,000                                                                              ","['   Habitaciones4  ', '   Baños3.5  ', '  Área483 m2 ']","['  Amueblado No  ', '  Cocina 2  ', '  Balcón 2  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento 3  ', '  Servicio mensual 0  ']"
ZP7OGKM,VENTA DE CASA EN COLONIA PALMIRA, Colonia Palmira,"
                                       $ 251,281                                                                              ","['   Habitaciones4  ', '   Baños3.5  ', '  Área335 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Balcón 1  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento 3  ']"
2MLWYB5,VENTA DE CASA DE LUJO EN LAS HADAS, Residencial Las Hadas,"
                                       $ 225,000                                                                              ","['   Habitaciones4  ', '   Baños4.5  ']","['  Cocina 1  ', '  Tipo de calle Calle  ', '  Suelo 3  ', '  Estacionamiento 2  ']"
HMHLPUD,PREVENTA DE MODERNA CASA EN ROBLE OESTE, Residencial Roble Oeste,"
                                       $ 182,043                                                                              ","['   Habitaciones3  ', '   Baños3.5  ']","['  Cocina 1  ', '  Balcón 1  ', '  Tipo de calle Calle  ', '  Estacionamiento 2  ', '  Año de construcción 2023  ']"
Q9RE342,CASA NUEVA EN RESIDENCIAL SANTA CRUZ, Residencial Santa Cruz,"
                                       $ 182,000                                                                              ","['   Habitaciones3  ', '   Baños2.5  ']","['  Cocina 1  ', '  Salas de recepción Si  ', '  Tipo de calle Calle  ', '  Suelo 2  ', '  Estacionamiento 2  ', '  Año de construcción 2022  ']"
WFZ7RDB,PREVENTA DE CASA EN MIRADOR DE LOS HIDALGOS, Residencial Las Hadas,"
                                       $ 159,793                                                                              ","['   Habitaciones3  ', '   Baños2.5  ', '  Área155 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Balcón 1  ', '  Tipo de calle Calle  ', '  Suelo 2  ', '  Año de construcción 2023  ']"
7AFZP7Q,VENTA DE CASAS EN RESIDENCIAL PORTAL CANARIAS - ENTREGAMOS EN DICIEMBRE, Residencial Portal Canarias,"
                                       $ 132,891                                                                              ","['   Habitaciones3  ', '   Baños2.5  ', '  Área183.87 m2 ']","['  Cocina 1  ', '  Balcón 1  ', '  Tipo de calle Calle  ', '  Estacionamiento 2  ', '  Año de construcción 2023  ']"
29OT87Q,PREVENTA DE HERMOSA CASA EN RESIDENCIAL MONTE REAL, Residencial Monte Real,"
                                       $ 155,747                                                                              ","['   Habitaciones3  ', '   Baños2.5  ', '  Área120 m2 ']","['  Balcón 1  ', '  Tipo de calle Calle  ', '  Suelo 2  ', '  Estacionamiento 2  ', '  Año de construcción 2023  ']"
8A78N8Q,CASA EN VENTA CON PISCINA EN EL SAUCE EXOTICA CASA NUEVA, Residencial El Sauce,"
                                       $ 900,000                                                                              ","['   Habitaciones5  ', '   Baños5.5  ', '  Área750 m2 ']","['  Amueblado No  ', '  Estacionamiento 4  ']"
A9QCRV8,PRECIO REBAJADO - AMPLIA CASA EN VENTA DE  4 HABITACIONES CON PISCINA Y GIMNASIO EN CIRCUITO CERRADO EN LAS HADAS, Residencial Las Hadas,"
                                       $ 600,000                                                                              ","['   Habitaciones4  ', '   Baños+5  ', '  Área665 m2 ']",['  Estacionamiento +5  ']
L2Y6O7O,AMPLIA CASA EN VENTA CON 1000 VARAS2 CON GIMNASIO Y JARDIN EN LOS ANGELES, Colonia Los Angeles,"
                                       $ 695,000                                                                              ","['   Habitaciones3  ', '   Baños4  ', '  Área620 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Estacionamiento 2  ']"
EWHHDFB,"SE VENDE LINDA CASA NUEVA EN ROBLE ALTO CON AMPLIO PATIO, EXCELENTE VISTA E ILUMINACIÓN", Residencial Roble Oeste,"
                                       $ 210,000                                                                              ","['   Habitaciones3  ', '   Baños2.5  ', '  Área135.09 m2 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Balcón 1  ', '  Estacionamiento 2  ']"
Q4PHSOF,CASA CON AMPLIO TERRENO PLANO 9642 V2 - UNA HACIENDA URBANA PARA QUINTA FAMILIAR EN VENTA, Colonia América,"
                                       $ 1,000                                                                              ","['   Habitaciones5  ', '   Baños5.5  ', '  Área915.92 m2 m2 ']","['  Amueblado No  ', '  Cocina 2  ']"
