,location,usd_price,bedrooms,bathrooms,surface_m²,parking
287,Cerro Grande,144235.0,4.0,3.0,153.0,0.0
290,15 de Septiembre,185445.0,3.0,2.0,260.0,0.0
291,Las Uvas,216353.0,3.0,4.0,182.0,0.0
293,El Sauce,185445.0,3.0,3.0,187.0,0.0
294,Pueblo Nuevo,156392.0,3.0,3.0,200.0,0.0
296,Centroamérica,103025.0,3.0,2.0,88.0,0.0
298,Las Uvas,123630.0,3.0,4.0,197.0,0.0
299,Las Uvas,115388.0,3.0,2.0,123.0,0.0
300,La Granja,195748.0,3.0,2.0,256.0,0.0
301,Las Uvas,231806.0,4.0,4.0,220.0,0.0
302,Los Laureles,80360.0,3.0,3.0,118.0,0.0
303,Cerro Grande,171022.0,3.0,4.0,453.0,0.0
305,Miraflores,181566.0,3.0,3.0,200.0,0.0
306,Tiloarque,90662.0,4.0,3.0,188.0,0.0
307,San Ignacio,958.48,4.0,5.0,483.0,5.0
311,La Granja,206050.0,3.0,3.0,359.0,0.0
312,Tres Caminos,222534.0,4.0,4.0,275.0,0.0
313,Humuya,190596.0,4.0,4.0,200.0,0.0
315,Calpules,35029.0,3.0,2.0,70.0,0.0
316,El Sitio,958.48,3.0,2.0,148.0,2.0
317,San Angel,53532.0,4.0,1.0,68.64,0.0
320,Tres Caminos,604500.0,3.0,3.0,404.0,5.0
321,Las Hadas,260000.0,3.0,3.0,414.0,2.0
322,Portal del Bosque,205000.0,4.0,4.0,160.0,2.0
324,Los Angeles,264357.0,6.0,6.0,685.0,5.0
325,Las Hadas,151700.0,3.0,3.0,187.0,5.0
326,Portal del Bosque,175000.0,3.0,2.0,136.0,0.0
328,San Ignacio,420000.0,4.0,3.0,354.0,3.0
329,Loma Linda Norte,260000.0,4.0,3.0,260.0,4.0
330,Loma Linda Norte,260000.0,4.0,3.0,260.0,4.0
331,Las Uvas,235887.0,3.0,4.0,370.0,3.0
332,El Sauce,226000.0,7.0,6.0,450.0,3.0
334,Roble Oeste,173000.0,3.0,2.0,135.0,2.0
335,Roble Oeste,148356.0,4.0,4.0,160.0,3.0
336,Roble Oeste,113328.0,3.0,4.0,145.0,0.0
337,Altos del Trapiche,94783.0,3.0,2.0,80.0,1.0
342,Altos del Trapiche,94783.0,3.0,2.0,85.0,1.0
343,Altos del Trapiche,126721.0,3.0,2.0,180.0,0.0
344,Altos del Trapiche,82008.0,3.0,2.0,85.0,0.0
345,Hacienda Real,42446.0,3.0,2.0,74.0,2.0
346,Honduras,66966.0,3.0,3.0,72.0,0.0
348,Cerro Grande,74178.0,4.0,2.0,284.0,0.0
349,Villa Real,94783.0,3.0,3.0,120.0,0.0
350,Los Angeles,37089.0,3.0,1.0,85.0,0.0
351,La Cañada,61815.0,3.0,3.0,155.0,2.0
355,El Manchen,86541.0,3.0,1.0,150.0,2.0
357,Cerro Grande,30908.0,3.0,1.0,100.0,0.0
358,Cerro Grande,37089.0,3.0,2.0,78.0,0.0
359,El Hatillo,640000.0,4.0,3.0,900.0,0.0
360,El Hatillo,255256.0,5.0,3.0,545.0,4.0
361,Miraflores,123630.0,3.0,3.0,117.0,0.0
363,El Sauce,154538.0,3.0,4.0,230.0,0.0
364,El Sauce,221504.0,3.0,3.0,213.0,0.0
365,Altos del Trapiche,123630.0,3.0,3.0,150.0,0.0
366,Las Hadas,151700.0,3.0,3.0,178.0,0.0
367,Mirador Las Uvas,270000.0,4.0,4.0,444.0,2.0
369,Lomas del Mayab,750000.0,3.0,3.0,450.0,3.0
370,Boulevard Morazán,260000.0,3.0,2.0,234.0,5.0
372,Tres Caminos,200000.0,6.0,5.0,209.0,2.0
373,Las Uvas,119509.0,3.0,3.0,131.0,0.0
374,Lomas de Toncontin,82420.0,5.0,3.0,115.0,0.0
377,Centroamérica,32968.0,4.0,2.0,200.0,0.0
378,Boulevard Suyapa,35029.0,3.0,1.0,69.0,0.0
381,Monseñor Fiallos,49035.0,3.0,3.0,70.0,1.0
382,Anillo Periférico,51513.0,2.0,1.0,126.0,0.0
384,Centroamérica,94783.0,5.0,4.0,280.0,0.0
388,El Hato,55634.0,3.0,2.0,104.0,0.0
390,Modelo,156598.0,3.0,2.0,511.0,0.0
392,Portal del Bosque,232837.0,4.0,4.0,200.0,0.0
393,La Granja,165000.0,3.0,3.0,256.0,0.0
395,Villanueva,1452000.000000001,3.0,1.0,85.0,0.0
398,Las Hadas,154538.0,3.0,2.0,193.0,0.0
400,Lomas de Toncontin,97874.0,3.0,3.0,140.0,0.0
404,Lomas del Mayab,144235.0,2.0,2.0,160.0,0.0
405,Villa Olimpica,61815.0,3.0,2.0,180.0,0.0
406,Florencia Norte,334831.0,3.0,3.0,489.0,0.0
409,Los Proceres,123630.0,3.0,3.0,120.0,0.0
415,Centroamérica,86541.0,3.0,3.0,240.0,0.0
416,Anillo Periférico,88602.0,3.0,2.0,112.0,0.0
417,Centro De Tegucigalpa,86541.0,3.0,3.0,120.0,0.0
418,Las Casitas,78299.0,3.0,2.0,112.0,0.0
420,Las Casitas,72118.0,3.0,2.0,80.0,0.0
421,Los Angeles,88602.0,3.0,3.0,192.0,0.0
422,El Sauce,218413.0,3.0,4.0,185.0,0.0
425,El Sauce,154538.0,3.0,3.0,165.0,0.0
430,Miraflores,115388.0,5.0,4.0,256.0,0.0
431,Buenos Aires,103025.0,6.0,4.0,250.0,0.0
432,Las Delicias,94783.0,4.0,3.0,359.0,0.0
436,Las Hadas,122806.0,4.0,3.0,200.0,0.0
437,Tres Caminos,1452000.000000001,7.0,2.0,750.0,5.0
440,Las Hadas,189566.0,4.0,3.0,317.0,3.0
441,Las Hadas,293621.0,4.0,4.0,280.0,0.0
442,Florencia Norte,144235.0,3.0,3.0,150.0,0.0
447,Boulevard Morazán,239018.0,4.0,4.0,670.0,3.0
451,Humuya,215276.0,4.0,4.0,517.0,3.0
453,Lara,230000.0,4.0,5.0,350.0,2.0
459,Tres Caminos,153507.0,3.0,2.0,110.0,0.0
460,Miraflores Sur,152219.0,3.0,4.0,160.0,0.0
461,Miraflores Sur,177203.0,3.0,3.0,400.0,0.0
465,Villas Corinto,113328.0,3.0,3.0,200.0,2.0
466,Venecia,169991.0,3.0,4.0,280.0,0.0
469,Carretera Vieja del Norte,153507.0,3.0,4.0,232.0,0.0
472,Tres Caminos,275000.0,3.0,3.5,366.0,2.0
473,Lomas del Mayab,404695.0,3.0,2.5,518.0,6.0
474,Tepeyac,976000.0,5.0,5.5,620.0,2.0
476,Palma Real,270000.0,3.0,4.0,329.0,2.0
477,Florencia Sur,400000.0,4.0,5.0,468.0,2.0
478,La Granja,160000.0,3.0,2.0,282.0,2.0
479,Villa Elena,465000.0,3.0,3.5,889.0,2.0
480,Lomas del Guijarro,400000.0,5.0,4.5,625.0,4.0
481,Anillo periférico,188000.0,3.0,2.5,150.0,2.0
482,Las Hadas,220000.0,3.0,2.5,178.0,2.0
484,Miraflores,210000.0,3.0,3.5,220.0,2.0
485,Miraflores,193000.0,3.0,3.5,218.0,3.0
486,Francisco Morazán,485000.0,4.0,3.5,364.0,4.0
489,El Trapiche,400000.0,4.0,4.5,340.0,0.0
490,San Ignacio,440000.0,4.0,4.5,346.0,3.0
491,Viera,280000.0,4.0,3.5,400.0,4.0
492,Santa Lucía,264000.0,7.0,6.0,1180.280000000001,2.0
493,Tres Caminos,395000.0,5.0,5.5,480.0,3.0
496,Lomas del Mayab,3000.0,4.0,4.5,450.0,4.0
497,Lomas del Mayab,450000.0,3.0,2.5,527.0,3.0
498,El Trapiche,430000.0,4.0,4.5,464.0,4.0
499,Loma Linda,850000.0,5.0,5.0,890.0,0.0
500,Loarque,426618.0,4.0,3.5,191.0,3.0
501,Palmira,450000.0,5.0,3.0,591.0,2.0
